id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,task_family
tray_005_q07,tray_005,images/tray_005.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",2,5,1,4,3,E,3,standard_holdout,standard,compact_grid,normal,medium,sequence_memory
tray_006_q00,tray_006,images/tray_006.png,instrument_slot,Which compartment contains the clamp?,Slot 3,Slot 1,Slot 2,Slot 5,Slot 4,A,Slot 3,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_006_q01,tray_006,images/tray_006.png,empty_slot,Which numbered compartment is empty?,Slot 4,Slot 1,Slot 2,Slot 5,Slot 3,A,Slot 4,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_006_q02,tray_006,images/tray_006.png,indicator_color,What color is the sterility indicator strip?,amber,brown,blue,green,pink,E,pink,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_006_q03,tray_006,images/tray_006.png,tag_code,What two-digit tray tag is displayed?,91,33,92,70,73,C,92,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_006_q04,tray_006,images/tray_006.png,seal_breach,Where is the red wrap breach mark located?,upper-left,lower-left,upper-right,lower-right,center,A,upper-left,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_006_q05,tray_006,images/tray_006.png,orientation_arrow,Which direction does the orange orientation arrow point?,right,up,left,down,diagonal,B,up,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_006_q06,tray_006,images/tray_006.png,instrument_count,How many gauze items are visible?,1,0,2,4,3,C,2,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_006_q07,tray_006,images/tray_006.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",4,2,5,1,3,B,2,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_007_q00,tray_007,images/tray_007.png,instrument_slot,Which compartment contains the forceps?,Slot 5,Slot 4,Slot 3,Slot 2,Slot 1,C,Slot 3,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_007_q01,tray_007,images/tray_007.png,empty_slot,Which numbered compartment is empty?,Slot 4,Slot 3,Slot 6,Slot 1,Slot 2,C,Slot 6,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_007_q02,tray_007,images/tray_007.png,indicator_color,What color is the sterility indicator strip?,green,blue,amber,pink,brown,B,blue,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_007_q03,tray_007,images/tray_007.png,tag_code,What two-digit tray tag is displayed?,80,92,33,60,23,D,60,standard_holdout,standard,wide_grid,normal,medium,text_reading
tray_007_q04,tray_007,images/tray_007.png,seal_breach,Where is the red wrap breach mark located?,upper-left,upper-right,center,lower-right,lower-left,A,upper-left,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_007_q05,tray_007,images/tray_007.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,left,diagonal,right,up,A,down,standard_holdout,standard,wide_grid,normal,medium,spatial_reasoning
tray_007_q06,tray_007,images/tray_007.png,instrument_count,How many gauze items are visible?,3,0,4,2,1,D,2,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_007_q07,tray_007,images/tray_007.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",5,3,4,2,1,C,4,standard_holdout,standard,wide_grid,normal,medium,sequence_memory
tray_008_q00,tray_008,images/tray_008.png,instrument_slot,Which compartment contains the gauze?,Slot 5,Slot 2,Slot 4,Slot 1,Slot 3,A,Slot 5,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_008_q01,tray_008,images/tray_008.png,empty_slot,Which numbered compartment is empty?,Slot 2,Slot 3,Slot 4,Slot 5,Slot 1,A,Slot 2,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_008_q02,tray_008,images/tray_008.png,indicator_color,What color is the sterility indicator strip?,blue,brown,green,amber,pink,D,amber,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_008_q03,tray_008,images/tray_008.png,tag_code,What two-digit tray tag is displayed?,26,50,86,64,34,B,50,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_008_q04,tray_008,images/tray_008.png,seal_breach,Where is the red wrap breach mark located?,center,upper-left,lower-left,lower-right,upper-right,D,lower-right,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_008_q05,tray_008,images/tray_008.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,left,down,up,right,E,right,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_008_q06,tray_008,images/tray_008.png,instrument_count,How many gauze items are visible?,3,1,0,2,4,B,1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_008_q07,tray_008,images/tray_008.png,checklist_order,"In the checklist strip, which step comes immediately after step 4?",3,4,1,5,2,A,3,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_009_q00,tray_009,images/tray_009.png,instrument_slot,Which compartment contains the syringe?,Slot 2,Slot 4,Slot 1,Slot 3,Slot 6,E,Slot 6,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_009_q01,tray_009,images/tray_009.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 4,Slot 2,Slot 3,Slot 1,A,Slot 5,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_009_q02,tray_009,images/tray_009.png,indicator_color,What color is the sterility indicator strip?,blue,pink,green,amber,brown,E,brown,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_009_q03,tray_009,images/tray_009.png,tag_code,What two-digit tray tag is displayed?,72,35,31,30,22,D,30,standard_holdout,standard,wide_grid,normal,medium,text_reading
tray_009_q04,tray_009,images/tray_009.png,seal_breach,Where is the red wrap breach mark located?,center,upper-left,lower-right,lower-left,upper-right,A,center,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_009_q05,tray_009,images/tray_009.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,right,left,diagonal,up,A,down,standard_holdout,standard,wide_grid,normal,medium,spatial_reasoning
tray_009_q06,tray_009,images/tray_009.png,instrument_count,How many forceps items are visible?,1,0,3,4,2,A,1,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_009_q07,tray_009,images/tray_009.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",3,4,1,2,5,B,4,standard_holdout,standard,wide_grid,normal,medium,sequence_memory
tray_010_q00,tray_010,images/tray_010.png,instrument_slot,Which compartment contains the scalpel?,Slot 5,Slot 4,Slot 2,Slot 1,Slot 3,B,Slot 4,standard_holdout,standard,offset_grid,normal,low,inventory_check
tray_010_q01,tray_010,images/tray_010.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 2,Slot 3,Slot 4,Slot 1,B,Slot 2,standard_holdout,standard,offset_grid,normal,low,inventory_check
tray_010_q02,tray_010,images/tray_010.png,indicator_color,What color is the sterility indicator strip?,pink,green,blue,amber,brown,E,brown,standard_holdout,standard,offset_grid,normal,low,sterility_check
tray_010_q03,tray_010,images/tray_010.png,tag_code,What two-digit tray tag is displayed?,97,46,92,91,75,C,92,standard_holdout,standard,offset_grid,normal,low,text_reading
tray_010_q04,tray_010,images/tray_010.png,seal_breach,Where is the red wrap breach mark located?,upper-right,center,upper-left,lower-left,lower-right,A,upper-right,standard_holdout,standard,offset_grid,normal,low,sterility_check
tray_010_q05,tray_010,images/tray_010.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,up,right,left,down,B,up,standard_holdout,standard,offset_grid,normal,low,spatial_reasoning
tray_010_q06,tray_010,images/tray_010.png,instrument_count,How many gauze items are visible?,0,2,3,4,1,A,0,standard_holdout,standard,offset_grid,normal,low,inventory_check
tray_010_q07,tray_010,images/tray_010.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",4,3,1,2,5,C,1,standard_holdout,standard,offset_grid,normal,low,sequence_memory
tray_011_q00,tray_011,images/tray_011.png,instrument_slot,Which compartment contains the clamp?,Slot 1,Slot 2,Slot 4,Slot 3,Slot 6,E,Slot 6,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_011_q01,tray_011,images/tray_011.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 2,Slot 4,Slot 1,Slot 3,E,Slot 3,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_011_q02,tray_011,images/tray_011.png,indicator_color,What color is the sterility indicator strip?,amber,brown,pink,green,blue,B,brown,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_011_q03,tray_011,images/tray_011.png,tag_code,What two-digit tray tag is displayed?,87,31,72,13,74,A,87,standard_holdout,standard,compact_grid,normal,low,text_reading
tray_011_q04,tray_011,images/tray_011.png,seal_breach,Where is the red wrap breach mark located?,lower-left,upper-right,upper-left,lower-right,center,A,lower-left,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_011_q05,tray_011,images/tray_011.png,orientation_arrow,Which direction does the orange orientation arrow point?,right,down,up,diagonal,left,E,left,standard_holdout,standard,compact_grid,normal,low,spatial_reasoning
tray_011_q06,tray_011,images/tray_011.png,instrument_count,How many gauze items are visible?,0,2,1,4,3,C,1,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_011_q07,tray_011,images/tray_011.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",1,2,3,4,5,E,5,standard_holdout,standard,compact_grid,normal,low,sequence_memory
tray_012_q00,tray_012,images/tray_012.png,instrument_slot,Which compartment contains the gauze?,Slot 2,Slot 1,Slot 4,Slot 3,Slot 5,C,Slot 4,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_012_q01,tray_012,images/tray_012.png,empty_slot,Which numbered compartment is empty?,Slot 4,Slot 1,Slot 3,Slot 2,Slot 5,D,Slot 2,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_012_q02,tray_012,images/tray_012.png,indicator_color,What color is the sterility indicator strip?,blue,green,amber,pink,brown,E,brown,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_012_q03,tray_012,images/tray_012.png,tag_code,What two-digit tray tag is displayed?,21,24,54,36,96,E,96,standard_holdout,standard,compact_grid,normal,low,text_reading
tray_012_q04,tray_012,images/tray_012.png,seal_breach,Where is the red wrap breach mark located?,lower-left,center,upper-right,upper-left,lower-right,B,center,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_012_q05,tray_012,images/tray_012.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,down,right,left,diagonal,B,down,standard_holdout,standard,compact_grid,normal,low,spatial_reasoning
tray_012_q06,tray_012,images/tray_012.png,instrument_count,How many scalpel items are visible?,1,4,2,3,0,E,0,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_012_q07,tray_012,images/tray_012.png,checklist_order,"In the checklist strip, which step comes immediately after step 2?",3,4,2,5,1,B,4,standard_holdout,standard,compact_grid,normal,low,sequence_memory
tray_013_q00,tray_013,images/tray_013.png,instrument_slot,Which compartment contains the syringe?,Slot 3,Slot 2,Slot 4,Slot 5,Slot 1,E,Slot 1,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_013_q01,tray_013,images/tray_013.png,empty_slot,Which numbered compartment is empty?,Slot 1,Slot 6,Slot 3,Slot 2,Slot 4,B,Slot 6,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_013_q02,tray_013,images/tray_013.png,indicator_color,What color is the sterility indicator strip?,pink,amber,green,brown,blue,C,green,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_013_q03,tray_013,images/tray_013.png,tag_code,What two-digit tray tag is displayed?,92,27,44,96,26,E,26,standard_holdout,standard,wide_grid,normal,medium,text_reading
tray_013_q04,tray_013,images/tray_013.png,seal_breach,Where is the red wrap breach mark located?,lower-left,lower-right,upper-right,upper-left,center,C,upper-right,standard_holdout,standard,wide_grid,normal,medium,sterility_check
tray_013_q05,tray_013,images/tray_013.png,orientation_arrow,Which direction does the orange orientation arrow point?,down,left,diagonal,right,up,D,right,standard_holdout,standard,wide_grid,normal,medium,spatial_reasoning
tray_013_q06,tray_013,images/tray_013.png,instrument_count,How many forceps items are visible?,0,1,2,4,3,C,2,standard_holdout,standard,wide_grid,normal,medium,inventory_check
tray_013_q07,tray_013,images/tray_013.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",2,3,1,5,4,E,4,standard_holdout,standard,wide_grid,normal,medium,sequence_memory
tray_014_q00,tray_014,images/tray_014.png,instrument_slot,Which compartment contains the scalpel?,Slot 2,Slot 5,Slot 3,Slot 1,Slot 4,B,Slot 5,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_014_q01,tray_014,images/tray_014.png,empty_slot,Which numbered compartment is empty?,Slot 3,Slot 1,Slot 2,Slot 4,Slot 5,B,Slot 1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_014_q02,tray_014,images/tray_014.png,indicator_color,What color is the sterility indicator strip?,blue,green,brown,amber,pink,D,amber,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_014_q03,tray_014,images/tray_014.png,tag_code,What two-digit tray tag is displayed?,60,89,66,38,84,C,66,standard_holdout,standard,standard_grid,normal,medium,text_reading
tray_014_q04,tray_014,images/tray_014.png,seal_breach,Where is the red wrap breach mark located?,lower-right,center,upper-left,lower-left,upper-right,B,center,standard_holdout,standard,standard_grid,normal,medium,sterility_check
tray_014_q05,tray_014,images/tray_014.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,up,right,down,left,B,up,standard_holdout,standard,standard_grid,normal,medium,spatial_reasoning
tray_014_q06,tray_014,images/tray_014.png,instrument_count,How many clamp items are visible?,1,2,3,0,4,A,1,standard_holdout,standard,standard_grid,normal,medium,inventory_check
tray_014_q07,tray_014,images/tray_014.png,checklist_order,"In the checklist strip, which step comes immediately after step 3?",4,3,1,5,2,A,4,standard_holdout,standard,standard_grid,normal,medium,sequence_memory
tray_015_q00,tray_015,images/tray_015.png,instrument_slot,Which compartment contains the clamp?,Slot 3,Slot 1,Slot 5,Slot 2,Slot 4,B,Slot 1,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_015_q01,tray_015,images/tray_015.png,empty_slot,Which numbered compartment is empty?,Slot 3,Slot 4,Slot 6,Slot 1,Slot 2,C,Slot 6,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_015_q02,tray_015,images/tray_015.png,indicator_color,What color is the sterility indicator strip?,pink,green,blue,brown,amber,D,brown,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_015_q03,tray_015,images/tray_015.png,tag_code,What two-digit tray tag is displayed?,17,26,37,94,21,D,94,standard_holdout,standard,standard_grid,normal,low,text_reading
tray_015_q04,tray_015,images/tray_015.png,seal_breach,Where is the red wrap breach mark located?,lower-right,upper-left,upper-right,center,lower-left,B,upper-left,standard_holdout,standard,standard_grid,normal,low,sterility_check
tray_015_q05,tray_015,images/tray_015.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,down,right,up,left,C,right,standard_holdout,standard,standard_grid,normal,low,spatial_reasoning
tray_015_q06,tray_015,images/tray_015.png,instrument_count,How many syringe items are visible?,4,1,3,0,2,B,1,standard_holdout,standard,standard_grid,normal,low,inventory_check
tray_015_q07,tray_015,images/tray_015.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",5,1,4,3,2,D,3,standard_holdout,standard,standard_grid,normal,low,sequence_memory
tray_016_q00,tray_016,images/tray_016.png,instrument_slot,Which compartment contains the syringe?,Slot 3,Slot 5,Slot 1,Slot 4,Slot 2,A,Slot 3,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_016_q01,tray_016,images/tray_016.png,empty_slot,Which numbered compartment is empty?,Slot 2,Slot 1,Slot 5,Slot 3,Slot 4,E,Slot 4,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_016_q02,tray_016,images/tray_016.png,indicator_color,What color is the sterility indicator strip?,amber,brown,blue,pink,green,E,green,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_016_q03,tray_016,images/tray_016.png,tag_code,What two-digit tray tag is displayed?,31,42,12,41,70,A,31,standard_holdout,standard,compact_grid,normal,low,text_reading
tray_016_q04,tray_016,images/tray_016.png,seal_breach,Where is the red wrap breach mark located?,lower-right,center,lower-left,upper-right,upper-left,D,upper-right,standard_holdout,standard,compact_grid,normal,low,sterility_check
tray_016_q05,tray_016,images/tray_016.png,orientation_arrow,Which direction does the orange orientation arrow point?,up,left,diagonal,right,down,B,left,standard_holdout,standard,compact_grid,normal,low,spatial_reasoning
tray_016_q06,tray_016,images/tray_016.png,instrument_count,How many clamp items are visible?,2,4,1,3,0,E,0,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_016_q07,tray_016,images/tray_016.png,checklist_order,"In the checklist strip, which step comes immediately after step 5?",4,2,1,5,3,A,4,standard_holdout,standard,compact_grid,normal,low,sequence_memory
tray_017_q00,tray_017,images/tray_017.png,instrument_slot,Which compartment contains the clamp?,Slot 4,Slot 3,Slot 5,Slot 2,Slot 1,E,Slot 1,standard_holdout,standard,offset_grid,normal,medium,inventory_check
tray_017_q01,tray_017,images/tray_017.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 3,Slot 2,Slot 1,Slot 4,A,Slot 5,standard_holdout,standard,offset_grid,normal,medium,inventory_check
tray_017_q02,tray_017,images/tray_017.png,indicator_color,What color is the sterility indicator strip?,brown,green,pink,blue,amber,D,blue,standard_holdout,standard,offset_grid,normal,medium,sterility_check
tray_017_q03,tray_017,images/tray_017.png,tag_code,What two-digit tray tag is displayed?,15,75,43,65,13,E,13,standard_holdout,standard,offset_grid,normal,medium,text_reading
tray_017_q04,tray_017,images/tray_017.png,seal_breach,Where is the red wrap breach mark located?,lower-left,upper-right,center,upper-left,lower-right,B,upper-right,standard_holdout,standard,offset_grid,normal,medium,sterility_check
tray_017_q05,tray_017,images/tray_017.png,orientation_arrow,Which direction does the orange orientation arrow point?,diagonal,left,down,up,right,A,diagonal,standard_holdout,standard,offset_grid,normal,medium,spatial_reasoning
tray_017_q06,tray_017,images/tray_017.png,instrument_count,How many scalpel items are visible?,3,4,1,0,2,E,2,standard_holdout,standard,offset_grid,normal,medium,inventory_check
tray_017_q07,tray_017,images/tray_017.png,checklist_order,"In the checklist strip, which step comes immediately after step 1?",2,5,4,3,1,C,4,standard_holdout,standard,offset_grid,normal,medium,sequence_memory
tray_018_q00,tray_018,images/tray_018.png,instrument_slot,Which compartment contains the syringe?,Slot 3,Slot 1,Slot 2,Slot 4,Slot 5,B,Slot 1,standard_holdout,standard,compact_grid,normal,low,inventory_check
tray_018_q01,tray_018,images/tray_018.png,empty_slot,Which numbered compartment is empty?,Slot 5,Slot 3,Slot 4,Slot 2,Slot 1,D,Slot 2,standard_holdout,standard,compact_grid,normal,low,inventory_check
